ID;Domain_code;Tier;Domain;Name;Description;Type;Module;Category;Path;Unit;Flavour text;DepGroup1;DepGroup2;DepGroup3;DepGroup4;Remarks
N.2.02;N;2;Naval;Advanced ASW;Destroyers hit submarines on 1–2.;Upgrade;CORE;;CARRIER, BATTLESHIP;Destroyers;;;;;;
N.2.03;N;2;Naval;Torpedos;Capital ships can defend against Suprise Strikes from submarines, the same way destroyers can.;Upgrade;CORE;;CARRIER, PRODUCTION, BATTLESHIP;Battleships, Aircraft Carriers;;;;;;
N.2.04;N;2;Naval;Gatekeeper systems;Transports and Capital ships now have AAA Guns similar to Industrial Complexes and other facilities;Upgrade;CORE;KEYSTONE;CARRIER, PRODUCTION, BATTLESHIP;Transports;;N.1.01;;;;
N.3.01;N;3;Naval;Naval Research Center;Enables Research for Sea Units and Ports;Facility;CORE;RCENTER;NUCLEAR, SUBS, CARRIER, PRODUCTION, BATTLESHIP, BUNKER;Research Center;;X.N.02;;;;
N.4.01;N;4;Naval;Submarine Fleet Coordination;Submarines may submerge if there is only one destroyer present.;Upgrade;CORE;KEYSTONE;NUCLEAR, SUBS;Submarines;;N.2.01;;;;
N.4.02;N;4;Naval;Surface Fleet doctrine;All surface ships may move +1 (Transport, Destroyer, Cruiser, Carrier, Battleship);Upgrade;CORE;KEYSTONE;CARRIER, BATTLESHIP;Transport, Destroyers, Cruisers, Aircraft Carrier, Battleship;;N.2.02|N.2.03|N.2.04;;;;
N.4.03;N;4;Naval;Sonar;In sea zones w/ enemy naval ports, submarines loose special abilities like there is a destroyer present.;Tech;CORE;;BUNKER;;;;;;;
N.4.04;N;4;Naval;Armed transports;Transports attack and defend at 1.;Upgrade;CORE;;PRODUCTION;Transports;;N.2.03|N.2.04;;;;
N.5.01;N;5;Naval;Mobile submarines;Submarines can submerge after suprise attack;Upgrade;NUCLEAR;;NUCLEAR;Ballistic Missile Submarine;;N.4.01;;;;
N.5.02;N;5;Naval;Silent Running;Submarines may ignore first destroyer cancellation per turn.;Upgrade;CORE;;SUBS;Nuclear Submarines;Limited stealth;N.4.01;;;;
N.5.03;N;5;Naval;Super battleships;Battleships can attack with two dice;Upgrade;CORE;;BATTLESHIP;Battleships;;N.4.02;;;;
N.5.04;N;5;Naval;Fleet Screening Doctrine;Pairing with cruisers gives +1 attack and defense to Carrier.;Upgrade;CORE;;CARRIER;Cruisers;;N.4.02;;;;
N.5.05;N;5;Naval;Heavy Transport Capacity;Transports may carry up to three land units of which one is infantry;Upgrade;CORE;;PRODUCTION;Transports;;N.4.04;;;;
N.6.01;N;6;Naval;Nuclear Propulsion Doctrine;Submarines may move 2 extra.;Upgrade;CORE;;SUBS;Nuclear Submarines;Strategic mobility.;N.5.02;E.4.01;;;
N.6.02;N;6;Naval;Advanced Submarine Propulsion;Submarines may carry special weapons (Atomic Bomb) and launch them from an adjacent seazone onto a territory.;Unit;NUCLEAR;;NUCLEAR;Ballistic Missile Submarine;;N.5.01;E.5.03;;;
N.6.03;N;6;Naval;Heavy battleship;Battleships can stand 3 hits, where 1 hits has no functional impact.;Upgrade;CORE;;BATTLESHIP;Battleships;;E.4.05;N.5.03;F.5.03;;
N.6.04;N;6;Naval;Heavy carriers;Carriers can attack and defend +1.;Upgrade;CORE;;CARRIER;Aircraft carriers;;F.5.02|F.5.05;N.5.04;;;
P.3.GO;P;3;Programs;Germany: Occultism: The Ahnenerbe Institute;Research Institute for the Occult generates 1 Vril energy token per turn. Every use of researched items cost an amount of Vril.;Facility;OCCULTISM;;OCCULTISM;Research Center;German Occultism;X.E.02;;;;
P.4.GO;P;4;Programs;Germany: Occultism: Expedition to Tibet;Occupy Tibet to obtain the ability: for 1 Vril energy token ignore one research dependency OR reduce research cost by 1 IPC.;Bonus;OCCULTISM;;OCCULTISM;;German Occultism;P.3.GO;;;;
P.5.GO;P;5;Programs;Germany: Occultism: Thule Society;You now have developed the Hannebeau II Saucer. For 1 Vril token the UFO can move 1 infantry from one place to another (if the territory is enemy occupied, the infantry unit is in combat) OR you may move one enemy aircraft back to it’s place of origin.;Unit;OCCULTISM;;OCCULTISM;UFO;German Occultism;P.4.GO;;;;
P.6.GO;P;6;Programs;Germany: Occultism: Spear of Longinus;Using the Spear of Destiny: for 1 Vril token once per turn you may determine the outcome of one die roll yourself.;Bonus;OCCULTISM;;OCCULTISM;;German Occultism;P.5.GO;;;;
P.7.FI;P;7;Programs;Fighter Jets;Fighters defend at 5 and move +1.;Unit;CORE;;FIGHTER;Jet fighter;;F.6.03;A.6.01;;;
P.7.GA;P;7;Programs;Germany: Atlantik Wall;When there are bunkers in Normandy, Netherlands, Danmark and Norway those territories cannot be the target of Amphibious Assault, although starting combat from sea is still possible.;Upgrade;CORE;;BUNKER;Bunkers;;N.4.03;L.6.02;;;
P.7.GL;P;7;Programs;Germany: Wunderwaffen: LandKreuzer P. 1500;Super Heavy Armor: Landkreuzer P. 1500 Monster: attacks at 5 A5D5M2C14;Unit;CORE;;TANK;LandKreuzer;;E.5.01;L.6.05;;;
P.7.GO;P;7;Programs;Germany: Occultism: Die Glocke;Once per round you can reset the turn of a power (self, enemy or ally). That turn starts all over. ;Unit;OCCULTISM;;OCCULTISM;Die Glocke;German Occultism;P.6.GO;;;;
P.7.JP;P;7;Programs;Japan: Kido Butai Doctrine;Production of one extra ship every turn (including Capital Ships).;Unit;CORE;;CARRIER;Aircraft carriers;;;N.6.04;F.6.03;;
P.7.NU;P;7;Programs;Project Manhattan – Development;Develop and Test Atomic Bomb: Pick one of your original territories and place two radiation tokens on it. Remove one every consecutive turn, as long as there are tokens, the IPC count is 1 IPC and max unit count is limited to infantry. You may move them during movement phase to neighboring territories. Additional to the Research cost pay 1 uranium resource and 2 heavy water.;Tech;NUCLEAR;;NUCLEAR;;;R.6.01;E.6.03;R.6.02;;
P.7.RU;P;7;Programs;Russia: Deep Battle Doctrine;(Mechanized) Infantry may move +1 and may move after combat if territory cleared.;Upgrade;CORE;;INFANTRY;Mechanized Infantry, Infantry;;I.5.04;L.6.06|L.6.04;;;
P.7.SG;P;7;Programs;Rail Super Gun -  Schwerer Gustav;The armoured train artillry. Can move to all rail connected sections in one move and participate in combat 2 territories away. Stays in combat until all friendly land units are out of combat.  Can only be targeted by bombings (like a facility without AAA) A3/Dx/M1/C?;Unit;CORE;;RAIL;Gustav;;L.6.03;F.6.01;;;
P.7.SU;P;7;Programs;The Wolfpack: Super Submarines;The attack value of your submarines is now 3 instead of 2.;Upgrade;CORE;;SUBS;Nuclear Submarines;;N.6.01;E.4.05;;;
P.7.UK;P;7;Programs;UK: Global Intelligence Network;Spy spawns in capital (A0/D0/M2/C8) and is able to sabotage facilities, steal or cancel tech (while in enemy capital) or cancel one battle this round from the power it is currently residing (play as interrupt in enemy’s combat phase, while not having performed one of your earlier options this round.;Unit;CORE;;INTEL;Spy;;I.6.01|I.6.02|I.6.03|I.6.04;F.5.04;;;
P.7.US;P;7;Programs;US: Industrial capacity;Get 1 unit for free during your mobilization phase from any Cluster (Air, Land, Navel) you have researched reaching tier 6.;Bonus;CORE;;PRODUCTION;;;F.6.02;X.A.06|X.L.06|X.N.06;;;
P.8.FI;P;8;Programs;Fighter Jets;Fighters attack at 5 and move +1;Upgrade;CORE;;FIGHTER;Jet fighter;;;P.7.FI;;;
P.8.GA;P;8;Programs;Germany: Atlantic Wall Pt. 2;For all coastal territories with bunkers the enemy’s Amphibious Assault is disabled when attacking this territory.;Upgrade;CORE;;BUNKER;Bunkers;;;P.7.GA;;;
P.8.GL;P;8;Programs;Germany: Wunderwaffen: LandKreuzer P. 1500;Super Heavy ArmorLandkreuzer P. 1500 Monster now can absord 2 hits;Upgrade;CORE;;TANK;LandKreuzer;;;P.7.GL;;;
P.8.GO;P;8;Programs;Germany: Occultism: Die Glocke;Once per round you can reset the turn of a power (self, enemy or ally). That turn is cancelled.;Upgrade;OCCULTISM;;OCCULTISM;Die Glocke;German Occultism;;P.7.GO;;;
P.8.JP;P;8;Programs;Japan: Kido Butai Doctrine;Carriers can stand 3 hits, where 1 hits has no functional impact, may carry +1 aircraft and can participate in Amphibious Assaults.;Unit;CORE;;CARRIER;Aircraft carriers;;;P.7.JP;;;
P.8.NU;P;8;Programs;Project Manhattan – Production;Able to produce the Atomic Bomb (you need transportation to deliver this) Dropping the Bomb: Atomic attack on a 1-4 d6 roll permanently destroys  all units and maximizes damage on facilities in territory (one-use weapon) and reduces production value of territory to 1 IPC for the duration of 5 years. Place radiation markers (10) in territory accordingly, remove one every round.  Must need a delivery system (nuclear sub, flying fortres or rocket) to use.;Unit;NUCLEAR;;NUCLEAR;Atomic bomb;;;P.7.NU;;;Add delivery method as dependency
P.8.RU;P;8;Programs;Russia: Deep Battle Doctrine;Every major Industrial Complex creates one (Mechanized) Infantry during mobilization phase. ;Upgrade;CORE;;INFANTRY;Mechanized Infantry, Infantry;;;P.7.RU;;;
P.8.SG;P;8;Programs;Rail Super Gun – Langer Gustav;Can combat 4 spaces away, hits +1  and has AAA that hits on +1;Upgrade;CORE;;RAIL;Gustav;;;P.7.SG;;;
P.8.SU;P;8;Programs;The Wolfpack: Suprise Tactics;If the number of submarines in a seazone outnumbers the amount of destroyers, the ability to cancel submarine special features is canceled: submarines can perform Suprise Strike, Submerge and Can’t Be Hit By Air Units.;Upgrade;CORE;;SUBS;Nuclear Submarines;;;P.7.SU;;;
P.8.UK;P;8;Programs;UK: Global Intelligence Network;If spy is present in enemy territory AND territory is attacked by self or an ally spawn 3 infantry to join the fight.;Upgrade;CORE;;INTEL;Spy;;;P.7.UK;;;
P.8.US;P;8;Programs;US: Industrial powerhouse;Land Units built in Industrial Complexes may be placed in adjacent territories you own and Airplanes may be placed in any naval port you own. Build limit per IC +2 AND Land units cost -1 IPC.;Bonus;CORE;;PRODUCTION;;;N.5.05;P.7.US;;;
P.9.NU;P;9;Programs;Project Manhattan – Dropping The Bomb;This is not an actual Research Item (and will not cost IPC’s), but more of a placeholder that all dependencies are met in order to deliver and drop the bomb on it’s destination.;Placeholder;NUCLEAR;;NUCLEAR;Atomic Bomb;;P.8.NU;N.6.02|E.6.02|A.6.04;;;
R.1.01;R;1;Resource;Oil;"Oil acts as a second currency (like IPCs) BUT: it is mainly used for operations (movement/combat), not required to be transported, stored and spent nationally. Oil can be derived from oil producing territories via Oil Derricks or seazones via Oil Platform or by developing a Synthetic Oil Plant. Japan starts with 1 oil in the bank.
Oil costs: Land: 1 oil per major offensive Air: 1 oil per battle Naval: 1 oil per fleet per turn (+1 if combat).
Penalties (when out of oil): Tanks/mech → no blitz Aircraft → -1 attack Navy → cannot enter hostile zones.
Rules: Production From territories + infrastructure Collected during income phase Max storage: 15 (soft cap at 10, after 10 lose 1 oil each turn). )Convoys → lose IPC OR oil and Bombing → disables oil structures. Emergency Rule: Replace Oil cost by 3 times the amount in IPC.";Resource;OIL;RESOURCE;OIL;Oil;;;;;;
R.4.01;R;4;Resource;Aluminium;Aluminium is produced in an Aluminium Factory and when transported to an industrial complex you get a discount of 2 IPC when building a Jet, Rocket or Flying Fortress.;Resource;CORE;RESOURCE;NUCLEAR, FIGHTER, ROCKET;Aluminium;;E.3.02;;;;
R.5.01;R;5;Resource;Steel;Steel is produced in a Steel Factory and when transported to an industrial compllex you get a discount of 2 IPC when building a Super Submarine, Heavy Tank or Heavy Capital ship.;Resource;CORE;RESOURCE;NUCLEAR, RAIL, SUBS, BATTLESHIP;Steel;;E.4.05;;;;
R.4.02;R;4;Resource;Vril;Vril energy acts as currency for the use of German Occult Artifacts (GOA) and are produced by the Ahnenerbe Institute one each turn.;Resource;OCCULTISM;RESOURCE;OCCULTISM;Vril;;P.3.GO;;;;
R.6.01;R;6;Resource;Uranium;Resource mined from 1 of 5 fixed Uranium mines: Western United States, Slovakia, Belgian Congo, Yukon Territory. Cannot be build. Production is 1 per turn.;Resource;NUCLEAR;RESOURCE;NUCLEAR;Uranium;;;;;;
R.6.02;R;6;Resource;Heavy Water;Resource produced in a Heavy Water Plant: two exist at the start of the game: Norway, Ukraine. More can be build.;Resource;NUCLEAR;RESOURCE;NUCLEAR;Heavy Water;;;;;;
R.3.01;R;3;Resource;University;You are now able to build a university, which grants 1 Research Point per turn.;Facility;CORE;RCENTER;;;;X.E.02;X.F.02;;;
X.A.01;A;1;Air;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;E.0.01;;;;
X.A.02;A;2;Air;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;X.A.01;;;;
X.A.04;A;4;Air;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;A.3.01;;;;
X.A.05;A;5;Air;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.A.06;A;6;Air;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.E.01;E;1;Energy And Physics;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;E.0.01;;;;
X.E.02;E;2;Energy And Physics;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.E.04;E;4;Energy And Physics;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.E.05;E;5;Energy And Physics;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.E.06;E;6;Energy And Physics;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.F.01;F;1;Logistics And Industry;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;E.0.01;;;;
X.F.02;F;2;Logistics And Industry;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.F.04;F;4;Logistics And Industry;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.F.05;F;5;Logistics And Industry;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.F.06;F;6;Logistics And Industry;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.I.01;I;1;Intelligence;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;E.0.01;;;;
X.I.02;I;2;Intelligence;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.I.04;I;4;Intelligence;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;I.3.01;;;;
X.I.05;I;5;Intelligence;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.I.06;I;6;Intelligence;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.L.01;L;1;Land;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;E.0.01;;;;
X.L.02;L;2;Land;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.L.04;L;4;Land;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;L.3.01;;;;
X.L.05;L;5;Land;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.L.06;L;6;Land;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.N.01;N;1;Naval;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;E.0.01;;;;
X.N.02;N;2;Naval;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;X.N.01;;;;
X.N.04;N;4;Naval;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;N.3.01;;;;
X.N.05;N;5;Naval;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
X.N.06;N;6;Naval;Cluster dependency item for DOT;;Dependency;;CLUSTER;;;;;;;;
