ID;Cluster;Tier;Domain;Name;Description;Type;Unit;Category;Flavour text;Dependency1;Dependency2;Dependency3;Dependency4;Remarks
P.7.US;P;7;Programs;US: Air Supremacy;Get 1 airplane for free every mobilization phase. Bombers attack at +1 and +1 movement.;Upgrade;Airplanes;;;F.6.02;A.6.02;A.6.03;;(***) One of the two
P.8.FI;P;8;Programs;Fighter Jets;Fighters attack at 5 and move +1;Upgrade;Jet fighter;;;;P.7.FI;;;
P.8.GA;P;8;Programs;Germany: Atlantic Wall Pt. 2;For all coastal territories with bunkers the enemy’s Amphibious Assault is disabled when attacking this territory.;Upgrade;Bunkers;;;;P.7.GA;;;
P.8.GL;P;8;Programs;Germany: Wunderwaffen: LandKreuzer P. 1500;Super Heavy ArmorLandkreuzer P. 1500 Monster now can absord 2 hits;Upgrade;LandKreuzer;;;;P.7.GL;;;
P.8.GO;P;8;Programs;Germany: Occultism: Die Glocke;Once per round you can reset the turn of a power (self, enemy or ally). That turn is cancelled.;Upgrade;Die Glocke;OCCULTISM;;;P.7.GO;;;
P.8.JP;P;8;Programs;Japan: Kido Butai Doctrine;Carriers can stand 3 hits, where 1 hits has no functional impact, may carry +1 aircraft and can participate in Amphibious Assaults.;Unit;Aircraft carriers;;;;P.7.JP;;;
P.8.NU;P;8;Programs;Project Manahattan – Production;Able to produce the Atomic Bomb (you need transportation to deliver this) Dropping the Bomb: Atomic attack on a 1-4 d6 roll permanently destroys  all units and maximizes damage on facilities in territory (one-use weapon) and reduces production value of territory to 1 IPC for the duration of 5 years. Place radiation markers (10) in territory accordingly, remove one every round.  Must need a delivery system (nuclear sub, flying fortres or rocket) to use.;Unit;Atomic bomb;;;;P.7.NU;;;
P.8.RU;P;8;Programs;Russia: Deep Battle Doctrine;Every major Industrial Complex creates one (Mechanized) Infantry during mobilization phase. ;Upgrade;(Mechanized) Infantry;;;;P.7.RU;;;
P.8.SG;P;8;Programs;Rail Super Gun – Langer Gustav;Can combat 4 spaces away, hits +1  and has AAA that hits on +1;Upgrade;Gustav;;;;P.7.SG;;;
P.8.SU;P;8;Programs;The Wolfpack: Suprise Tactics;If the number of submarines in a seazone outnumbers the amount of destroyers, the ability to cancel submarine special features is canceled: submarines can perform Suprise Strike, Submerge and Can’t Be Hit By Air Units.;Upgrade;Submarines;;;;P.7.SU;;;
P.8.UK;P;8;Programs;UK: Global Intelligence Network;If spy is present in enemy territory AND territory is attacked by self or an ally spawn 3 infantry to join the fight.;Upgrade;Spy;;;;P.7.UK;;;
P.8.US;P;8;Programs;US: Industrial capacity;Land Units built in Industrial Complexes may be placed in adjacent territories and Airplanes may be placed in any naval port you own. Build limit per IC +2 AND Land units cost -1 IPC.;Bonus;;;;N.4.05;P.7.US;;;
R.1.01;R;1;Resource;Oil;"Oil acts as a second currency (like IPCs) BUT: it is mainly used for operations (movement/combat), not required to be transported, stored and spent nationally. Oil can be derived from oil producing territories via Oil Derricks or seazones via Oil Platform or by developing a Synthetic Oil Plant. Japan starts with 1 oil in the bank.
Oil costs: Land: 1 oil per major offensive Air: 1 oil per battle Naval: 1 oil per fleet per turn (+1 if combat).
Penalties (when out of oil): Tanks/mech → no blitz Aircraft → -1 attack Navy → cannot enter hostile zones.
Rules: Production From territories + infrastructure Collected during income phase Max storage: 15 (soft cap at 10, after 10 lose 1 oil each turn). )Convoys → lose IPC OR oil and Bombing → disables oil structures. Emergency Rule: Replace Oil cost by 3 times the amount in IPC.";Resource;Oil;OIL;;;;;;
R.4.01;R;4;Resource;Aluminium;Aluminium is produced in an Aluminium Factory and when transported to an industrial complex you get a discount when building a Jet, Rocket or Flying Fortress.;Resource;Aluminium;;;;E.3.02;;;
R.4.02;R;4;Resource;Steel;Steel is produced in a Steel Factory and when transported to an industrial compllex you get a discount when building a Super Submarine, Heavy Tank or Heavy Capital ship.;Resource;Steel;;;;E.3.03;;;
R.4.03;R;4;Resource;Vril;Vril energy acts as currency for the use of German Occult Artifacts (GOA) and are produced by the Ahnenerbe Institute one each turn.;Resource;Vril;OCCULTISM;;P.4.GO;;;;
R.6.01;R;6;Resource;Uranium;Resource mined from 1 of 5 fixed Uranium mines: Western United States, Slovakia, Belgian Congo, Yukon Territory. Cannot be build.;Resource;Uranium;;;;E.5.01;;;
R.6.02;R;6;Resource;Heavy Water;Resource produced in a Heavy Water Plant: two exist at the start of the game: Norway, Ukraine. More can be build.;Resource;Heavy Water;;;;E.1.02;;;
X.A.1;A;1;Air;Cluster dependency item for DOT;;Dummy;;DUMMY;;E.0.01;;;;
X.A.2;A;2;Air;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.A.1;;;;
X.A.4;A;4;Air;Cluster dependency item for DOT;;Dummy;;DUMMY;;A.3.01;;;;
X.A.5;A;5;Air;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.A.4;;;;
X.A.6;A;6;Air;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.A.5;;;;
X.E.1;E;1;Energy And Physics;Cluster dependency item for DOT;;Dummy;;DUMMY;;E.0.01;;;;
X.E.2;E;2;Energy And Physics;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.E.1;;;;
X.E.4;E;4;Energy And Physics;Cluster dependency item for DOT;;Dummy;;DUMMY;;E.3.01;;;;
X.E.5;E;5;Energy And Physics;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.E.4;;;;
X.E.6;E;6;Energy And Physics;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.E.5;;;;
X.F.1;F;1;Logistics And Industry;Cluster dependency item for DOT;;Dummy;;DUMMY;;E.0.01;;;;
X.F.2;F;2;Logistics And Industry;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.F.1;;;;
X.F.4;F;4;Logistics And Industry;Cluster dependency item for DOT;;Dummy;;DUMMY;;F.3.01;;;;
X.F.5;F;5;Logistics And Industry;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.F.4;;;;
X.F.6;F;6;Logistics And Industry;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.F.5;;;;
X.I.1;I;1;Intelligence;Cluster dependency item for DOT;;Dummy;;DUMMY;;E.0.01;;;;
X.I.2;I;2;Intelligence;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.I.1;;;;
X.I.4;I;4;Intelligence;Cluster dependency item for DOT;;Dummy;;DUMMY;;I.3.01;;;;
X.I.5;I;5;Intelligence;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.I.4;;;;
X.I.6;I;6;Intelligence;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.I.5;;;;
X.L.1;L;1;Land;Cluster dependency item for DOT;;Dummy;;DUMMY;;E.0.01;;;;
X.L.2;L;2;Land;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.L.1;;;;
X.L.4;L;4;Land;Cluster dependency item for DOT;;Dummy;;DUMMY;;L.3.01;;;;
X.L.5;L;5;Land;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.L.4;;;;
X.L.6;L;6;Land;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.L.5;;;;
X.N.1;N;1;Naval;Cluster dependency item for DOT;;Dummy;;DUMMY;;E.0.01;;;;
X.N.2;N;2;Naval;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.N.1;;;;
X.N.4;N;4;Naval;Cluster dependency item for DOT;;Dummy;;DUMMY;;N.3.01;;;;
X.N.5;N;5;Naval;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.N.4;;;;
X.N.6;N;6;Naval;Cluster dependency item for DOT;;Dummy;;DUMMY;;X.N.5;;;;
